representation,compartment,bootstrap_id,ari,nmi,nn_accuracy,silhouette
stack,epithelial,32,-0.16129032258064516,0.14378913248740022,0.0,-0.029121777042746544
stack,epithelial,33,0.0,0.34247811980489706,0.1111111111111111,-0.030612269416451454
stack,epithelial,34,0.07142857142857142,0.3930065516315366,0.1111111111111111,-0.006466886028647423
stack,epithelial,35,0.07142857142857142,0.3930065516315367,0.3333333333333333,-0.027883462607860565
stack,epithelial,36,0.0,0.31832981211857864,0.3333333333333333,-0.006798213347792625
stack,epithelial,37,-0.16129032258064516,0.14378913248740022,0.4444444444444444,-0.028400221839547157
stack,epithelial,38,-0.13333333333333333,0.1690425887408266,0.0,-0.018284691497683525
stack,epithelial,39,-0.13333333333333333,0.19533461868002244,0.3333333333333333,-0.022148333489894867
stack,epithelial,40,0.0,0.31832981211857864,0.1111111111111111,-0.014581974595785141
stack,epithelial,41,0.07142857142857142,0.3930065516315366,0.2222222222222222,-0.016030116006731987
stack,epithelial,42,0.0,0.27762581114398704,0.2222222222222222,-0.0139910988509655
stack,epithelial,43,0.07142857142857142,0.3930065516315366,0.2222222222222222,-0.01989852450788021
stack,epithelial,44,-0.16129032258064516,0.14378913248740022,0.3333333333333333,-0.0318862609565258
stack,epithelial,45,0.07142857142857142,0.3930065516315366,0.3333333333333333,-0.03595404326915741
stack,epithelial,46,0.07142857142857142,0.3930065516315367,0.1111111111111111,-0.017651662230491638
stack,epithelial,47,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.010549112223088741
stack,epithelial,48,-0.16129032258064516,0.14378913248740022,0.1111111111111111,-0.01460888609290123
stack,epithelial,49,-0.03225806451612903,0.29513539794968274,0.1111111111111111,-0.04114978015422821
stack,epithelial,50,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.006018871441483498
stack,epithelial,51,0.26666666666666666,0.5239645650766063,0.4444444444444444,0.0054603880271315575
stack,epithelial,52,-0.16129032258064516,0.14378913248740022,0.1111111111111111,-0.02845633029937744
stack,epithelial,53,0.07142857142857142,0.3930065516315366,0.1111111111111111,-0.00948253832757473
stack,epithelial,54,-0.13333333333333333,0.16904258874082662,0.1111111111111111,-0.03490129113197327
stack,epithelial,55,-0.13333333333333333,0.16904258874082662,0.2222222222222222,-0.030777087435126305
stack,epithelial,56,-0.07142857142857142,0.2503486204735853,0.0,-0.020632557570934296
stack,epithelial,57,0.07142857142857142,0.3930065516315367,0.0,-0.005553039722144604
stack,epithelial,58,0.07142857142857142,0.3930065516315366,0.1111111111111111,-0.003888585139065981
stack,epithelial,59,0.0,0.31832981211857864,0.1111111111111111,-0.024282041937112808
stack,epithelial,60,0.07142857142857142,0.3930065516315367,0.3333333333333333,-0.02416273020207882
stack,epithelial,61,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.009573038667440414
stack,epithelial,62,-0.13333333333333333,0.16904258874082662,0.3333333333333333,-0.020370572805404663
stack,epithelial,63,-0.13333333333333333,0.16904258874082662,0.4444444444444444,-0.004739804193377495
stack,epithelial,64,0.07142857142857142,0.3930065516315367,0.3333333333333333,-0.012439492158591747
stack,epithelial,65,0.07142857142857142,0.3930065516315367,0.1111111111111111,-0.007472959812730551
stack,epithelial,66,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.020060526207089424
stack,epithelial,67,0.07142857142857142,0.3930065516315366,0.0,-0.029381778091192245
stack,epithelial,68,-0.16129032258064516,0.14378913248740022,0.1111111111111111,-0.045468077063560486
stack,epithelial,69,-0.16129032258064516,0.14378913248740022,0.3333333333333333,-0.02721809223294258
stack,epithelial,70,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.024020705372095108
stack,epithelial,71,-0.13333333333333333,0.16904258874082662,0.2222222222222222,0.006114143878221512
stack,epithelial,72,-0.03225806451612903,0.29513539794968274,0.3333333333333333,-0.011095338501036167
